Ano;Cod;Área;Grau_academico;Cod_IES;Nome_IES;Sigla_IES;Organização;Cat_adm;Cód_curso;Mod_Ensino;Cód_Municipio;Município;Sigla_UF;Concluintes_inscritos;Concluintes_participantes;Enade_faixa
2021;4004;Ciências Comp;Bacharelado;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);3211;Educação Presencial;3543907;Rio Claro;SP;84;75;3
2021;4004;Ciências Comp;Bacharelado;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);52048;Educação Presencial;3541406;Presidente Prudente;SP;45;41;4
2021;4004;Ciências Comp;Bacharelado;57;Universidade Estadual De Maringá;UEM;Universidade;Pública (Est);3419;Educação Presencial;4115200;Maringá;PR;46;41;4
2021;4004;Ciências Comp;Bacharelado;67;Escola De Engenharia De Piracicaba;EEP/FUMEP;Faculdade;Pública (Mun);3531;Educação Presencial;3538709;Piracicaba;SP;22;16;2
2021;4004;Ciências Comp;Bacharelado;71;Universidade Do Estado Do Rio Grande Do Norte;UERN;Universidade;Pública (Est);20933;Educação Presencial;2408003;Mossoró;RN;23;17;3
2021;4004;Ciências Comp;Bacharelado;71;Universidade Do Estado Do Rio Grande Do Norte;UERN;Universidade;Pública (Est);57606;Educação Presencial;2408102;Natal;RN;10;10;2
2021;4004;Ciências Comp;Bacharelado;76;Universidade Regional De Blumenau;FURB;Universidade;Pública (Mun);3676;Educação Presencial;4202404;Blumenau;SC;37;30;3
2021;4004;Ciências Comp;Bacharelado;82;Universidade Do Oeste De Santa Catarina;UNOESC;Universidade;Privada (S.L);3859;Educação Presencial;4219309;Videira;SC;8;7;3
2021;4004;Ciências Comp;Bacharelado;82;Universidade Do Oeste De Santa Catarina;UNOESC;Universidade;Privada (S.L);1169186;Educação Presencial;4217204;São Miguel do Oeste;SC;14;12;3
2021;4004;Ciências Comp;Bacharelado;83;Universidade Do Vale Do Itajaí;UNIVALI;Universidade;Privada (S.L);3935;Educação Presencial;4208203;Itajaí;SC;23;18;3
2021;4004;Ciências Comp;Bacharelado;83;Universidade Do Vale Do Itajaí;UNIVALI;Universidade;Privada (S.L);19437;Educação Presencial;4216602;São José;SC;25;24;4
2021;4004;Ciências Comp;Bacharelado;95;Universidade Estadual Vale Do Acaraú;UVA;Universidade;Pública (Est);18584;Educação Presencial;2312908;Sobral;CE;66;43;3
2021;4004;Ciências Comp;Bacharelado;107;Universidade Federal De São João Del Rei;UFSJ;Universidade;Pública (Fed);122330;Educação Presencial;3162500;São João del Rei;MG;26;22;3
2021;4005;Ciências Comp;Licenciatura;135;Claretiano - Centro Universitário;CLARETIANOBT;Centro Universitário;Privada (S.L);84705;Educação a Distância;3505906;Batatais;SP;201;109;4
2021;4004;Ciências Comp;Bacharelado;137;Centro Universitário Sagrado Coração;UNISAGRADO;Centro Universitário;Privada (S.L);87384;Educação Presencial;3506003;Bauru;SP;42;31;2
2021;4004;Ciências Comp;Bacharelado;138;Centro Universitário Barão De Mauá;CBM;Centro Universitário;Privada (S.L);19010;Educação Presencial;3543402;Ribeirão Preto;SP;8;8;4
2021;4004;Ciências Comp;Bacharelado;142;Centro Universitário Do Triângulo;UNITRI;Centro Universitário;Privada (S.L);4547;Educação Presencial;3170206;Uberlândia;MG;21;14;3
2021;4004;Ciências Comp;Bacharelado;146;Centro Universitário De Rio Preto;UNIRP;Centro Universitário;Privada (C.L);4675;Educação Presencial;3549805;São José do Rio Preto;SP;6;6;2
2021;4004;Ciências Comp;Bacharelado;150;Universidade De Sorocaba;UNISO;Universidade;Privada (S.L);55096;Educação Presencial;3552205;Sorocaba;SP;18;15;2
2021;4004;Ciências Comp;Bacharelado;163;Universidade Estácio De Sá;UNESA;Universidade;Privada (C.L);1443998;Educação a Distância;3304557;Rio de Janeiro;RJ;27;10;3
2021;4004;Ciências Comp;Bacharelado;165;Universidade Veiga De Almeida;UVA;Universidade;Privada (C.L);5079;Educação Presencial;3304557;Rio de Janeiro;RJ;71;57;3
2021;4004;Ciências Comp;Bacharelado;203;Universidade São Judas Tadeu;USJT;Universidade;Privada (C.L);5485;Educação Presencial;3550308;São Paulo;SP;53;40;2
2021;4004;Ciências Comp;Bacharelado;203;Universidade São Judas Tadeu;USJT;Universidade;Privada (C.L);95489;Educação Presencial;3550308;São Paulo;SP;30;25;2
2021;4004;Ciências Comp;Bacharelado;203;Universidade São Judas Tadeu;USJT;Universidade;Privada (C.L);1420185;Educação Presencial;3550308;São Paulo;SP;18;17;3
2021;4004;Ciências Comp;Bacharelado;221;Universidade Cruzeiro Do Sul;UNICSUL;Universidade;Privada (C.L);5841;Educação Presencial;3550308;São Paulo;SP;73;64;2
2021;4004;Ciências Comp;Bacharelado;221;Universidade Cruzeiro Do Sul;UNICSUL;Universidade;Privada (C.L);1427562;Educação Presencial;3550308;São Paulo;SP;14;9;2
2021;4004;Ciências Comp;Bacharelado;227;Universidade Católica De Santos;UNISANTOS;Universidade;Privada (S.L);18624;Educação Presencial;3548500;Santos;SP;25;19;3
2021;4004;Ciências Comp;Bacharelado;267;Centro Universitário Espírito-Santense/Faesa;;Centro Universitário;Privada (S.L);18790;Educação Presencial;3205309;Vitória;ES;60;39;3
2021;4004;Ciências Comp;Bacharelado;271;Universidade Do Oeste Paulista;UNOESTE;Universidade;Privada (S.L);6491;Educação Presencial;3541406;Presidente Prudente;SP;25;18;4
2021;4004;Ciências Comp;Bacharelado;277;Centro Universitário Augusto Motta;UNISUAM;Centro Universitário;Privada (S.L);19242;Educação Presencial;3304557;Rio de Janeiro;RJ;56;38;2
